locus,gene,chromosome,bait_start_grch38,bait_end_grch38,prey_start_grch38,prey_end_grch38,chicago_activated,chicago_nonactivated,called_activated,called_nonactivated,differential_logfc,differential_fdr
gata3,GATA3,10,8039719,8061242,8473235,8475794,8.55209787298582,16.1056361209218,True,True,-0.68152270566499,0.0791580987708946
gata3,GATA3,10,8039719,8061242,8475795,8475962,9.330875001019,14.1572574881246,True,True,-0.446350317708689,0.45560810682359
gata3,GATA3,10,8039719,8061242,8475963,8476523,6.6570135367121,8.58669575620936,True,True,-0.131604389341426,0.942341049760224
gata3,GATA3,10,8039719,8061242,8476524,8482256,4.65103386191833,5.49913941698279,False,True,-0.192458448635157,0.923066954703052
gata3,GATA3,10,8039719,8061242,9008236,9009230,2.66755761567059,9.09768186417228,False,True,-0.942325005139413,0.241233336548368
gata3,GATA3,10,8039719,8061242,9009231,9010656,1.41123706705581,5.09851452049292,False,True,-0.795024173237766,0.553478980163128
gata3,GATA3,10,8039719,8061242,9010657,9011276,3.84390141697285,11.3886044917863,False,True,-0.852913263742799,0.250963492340437
gata3,GATA3,10,8039719,8061242,9089033,9089211,3.55384307876934,7.85098527310831,False,True,-0.487512212385914,0.783276353081517
gata3,GATA3,10,8039719,8061242,9091392,9092562,6.48452523343799,5.48171250561316,True,True,0.227310283950138,0.925903255240091
gata3,GATA3,10,8039719,8061242,9092563,9095740,3.00753177401206,5.62304261730865,False,True,-0.417266072891432,0.843359511428731
gata3,GATA3,10,8039719,8061242,9095770,9096164,3.01221436637359,9.73332563799208,False,True,-0.737705949600484,0.484519454974139
gata3,GATA3,10,8039719,8061242,9096165,9096447,4.57028500412814,12.2458503920291,False,True,-0.928632477746517,0.134509333496645
gata3,GATA3,10,8039719,8061242,9096448,9097831,11.1846917058607,17.1706937340819,True,True,-0.353755413944245,0.781530615086543
gata3,GATA3,10,8039719,8061242,9097832,9100053,3.01988463911778,9.13917757190213,False,True,-0.708019286851819,0.531941108808564
gata3,GATA3,10,8039719,8061242,9100054,9102219,2.07836919937207,6.71676178366626,False,True,-0.831991276619567,0.458500580637589
gata3,GATA3,10,8039719,8061242,9201174,9204490,0.766035066303691,6.1101877485243,False,True,-1.10229605642889,0.328097477355102
gata3,GATA3,10,8039719,8061242,9204491,9209039,6.05507738182312,8.92455246811935,True,True,-0.250571457869367,0.914351619942275
gata3,GATA3,10,8039719,8061242,9209040,9209191,12.4442611768808,15.6088521044624,True,True,-0.148068029925208,0.938137484406196
gata3,GATA3,10,8039719,8061242,9209192,9210698,12.9033040184062,12.8544281924159,True,True,0.0586503116790979,0.97923516995236
gata3,GATA3,10,8039719,8061242,9210699,9214180,5.97053400973754,4.78397742341246,True,False,0.164315092324177,0.955166222233428
ptpn22,PTPN22,1,113864431,113872406,112619465,112619981,5.33267147229464,1.65045404009139,True,False,0.588278567397204,0.866357398071007
ptpn22,PTPN22,1,113864431,113872406,112619982,112625725,6.46644003506102,1.93963787328943,True,False,0.584467638338087,0.816726769992538
ptpn22,PTPN22,1,113864431,113872406,112704152,112716302,5.1602859671605,3.66921436774576,True,False,-0.108726203081357,0.97923516995236
ptpn22,PTPN22,1,113864431,113872406,113901421,113902020,5.85993256743604,5.50018329881877,True,True,-0.225547161951558,0.763339207291065
ptpn22,PTPN22,1,113864431,113872406,113928237,113930409,14.3957249845504,8.88784647020624,True,True,0.19465883671923,0.673191783448744
ptpn22,PTPN22,1,113864431,113872406,113930410,113930567,9.37446953254483,6.19775949414542,True,True,0.124480566223858,0.925162305502058
ptpn22,PTPN22,1,113864431,113872406,113930568,113931238,7.9175177367346,5.00405119220601,True,True,0.193490113102174,0.872234304369581
ptpn22,PTPN22,1,113864431,113872406,113931239,113933040,8.40603212271552,5.36792040113676,True,True,0.211104983253935,0.84770359112544
ptpn22,PTPN22,1,113864431,113872406,113946675,113946943,5.15941809793605,5.36781872968998,True,True,-0.386464697135385,0.686020802066558
ptpn22,PTPN22,1,113864431,113872406,113946944,113949418,5.56157736048729,4.68124544988274,True,False,-0.10661518219103,0.954522637091631
ptpn22,PTPN22,1,113864431,113872406,114509292,114512038,5.12790547160903,3.61876069768049,True,False,-0.0777602113424886,0.97923516995236
ptpn22,PTPN22,1,113864431,113872406,114716232,114719982,5.66180806959205,5.26087348858836,True,True,-0.101811902087621,0.97923516995236
ptpn22,PTPN22,1,113864431,113872406,114755672,114759367,6.98879507019266,2.13490790889063,True,False,0.647434843272456,0.742296392859769
