target	fold
ANKRD36	6
ANKRD40	4
ANKRD46	8
ANO10	2
ANO6	7
ANP32A	7
ANP32E	2
ANTXR2	8
ANXA1	4
ANXA11	4
ANXA4	1
ANXA5	8
AP1B1	9
AP1G1	1
AP1G2	7
AP1S1	8
AP1S2	10
AP1S3	3
AP2A2	2
AP2B1	9
AP3D1	4
AP3M1	10
AP3M2	9
AP3S2	3
AP5S1	10
AP5Z1	5
APBB1IP	7
APBB3	4
APEH	3
APEX2	5
API5	7
APLP2	3
APMAP	3
APOBEC3B	4
APOBEC3G	5
APOBEC3H	4
APOL1	1
APOL2	7
APOL3	2
APOL6	10
APOO	3
APOOL	6
APP	10
APPBP2	2
APRT	5
APTX	9
ARAF	5
ARAP1	4
ARB2A	8
ARF1	7
ARF3	4
ARF6	10
ARFGAP1	7
ARFGAP3	6
ARFGEF1	5
ARFIP1	5
ARFIP2	2
ARGLU1	7
ARHGAP10	9
ARHGAP11A	8
ARHGAP11B	6
ARHGAP12	7
ARHGAP15	8
ARHGAP17	3
ARHGAP18	4
ARHGAP19	1
ARHGAP21	5
ARHGAP30	9
ARHGAP45	3
ARHGAP5	5
ARHGAP9	2
ARHGDIA	9
ARHGDIB	6
ARHGEF1	1
ARHGEF12	8
ARHGEF2	1
ARHGEF39	5
ARHGEF6	1
ARHGEF9	1
ARID2	3
ARID3B	6
ARID4A	9
ARID4B	2
ARID5A	10
ARIH1	2
ARK2N	7
ARL13B	7
ARL14EP	8
ARL15	1
ARL2BP	6
ARL4A	4
ARL4C	9
ARL5A	2
ARL6IP1	8
ARL6IP4	8
ARL6IP5	8
ARL6IP6	1
ARL8A	2
ARL8B	6
ARMC1	6
ARMC10	4
ARMCX3	6
ARMCX5	3
ARMH3	3
ARNT	4
ARPC1A	5
ARPC1B	6
ARPC5	9
ARPC5L	9
ARRB1	2
ARRDC1	10
ARRDC3	7
ARSA	10
ASAH1	9
ASB1	10
ASB8	7
ASCC2	9
ASF1A	9
ASH1L	2
ASL	2
ASMTL	6
ASNSD1	4
ASPH	3
ASPHD2	1
ASPM	4
ASPSCR1	2
ASTE1	1
ASXL1	6
ATAD1	6
ATAD2	1
ATAD2B	2
ATAD5	2
ATAT1	5
ATE1	8
ATF1	4
ATF2	4
ATF6	9
ATF7	2
ATF7IP	6
ATG101	6
ATG14	8
ATG16L2	6
ATG2A	6
ATG4C	9
ATG4D	5
ATL3	2
ATM	7
ATMIN	1
ATN1	10
ATOSA	3
ATOX1	5
ATP10A	10
ATP11A	5
ATP13A1	2
ATP13A2	8
ATP13A3	10
ATP1B1	10
ATP1B3	7
ATP23	10
ATP2A3	8
ATP2B4	8
ATP2C1	4
ATP5F1A	10
ATP5F1D	7
ATP5F1E	6
ATP5IF1	1
ATP5MC1	1
ATP5MC2	1
ATP5MC3	10
ATP5MG	2
ATP5PO	8
ATP6V0A1	8
ATP6V0E1	3
ATP7A	1
ATP8A1	9
ATP8B4	2
ATP9B	10
ATPAF1	3
ATRN	4
ATRX	5
ATXN2L	3
ATXN3	8
ATXN7L3	5
ATXN7L3B	4
AUH	6
AURKAIP1	10
AVEN	10
AZIN1	1
B3GALNT2	5
B3GAT3	5
B3GNT2	4
B4GALT3	6
B4GALT5	5
B4GALT7	4
B4GAT1	7
BABAM1	1
BAG3	3
BAHD1	10
BAIAP2	8
BAK1	10
BATF3	1
BAZ1B	7
BAZ2A	5
BBC3	4
BBLN	2
BBS1	7
BBS10	7
BBS2	8
BBS7	2
BBS9	1
BBX	9
BCAP29	3
BCAP31	1
BCAS3	7
BCAS4	8
BCDIN3D	3
BCKDHB	7
BCKDK	1
BCL2	4
BCL6	1
BCL7A	3
BCL7B	5
BCL7C	9
BCL9L	8
BCLAF1	5
BCOR	3
BCR	7
BDH1	5
BDH2	7
BEX3	5
BEX4	6
BHLHE40	5
BICD1	1
BICD2	10
BICDL1	9
BICRA	10
BIN2	9
BIN3	6
BIRC2	7
BIRC3	3
BIVM	5
BLCAP	7
BLOC1S1	7
BLOC1S2	10
BLOC1S4	9
BLOC1S5	1
BLOC1S6	4
BLTP1	5
BLTP3A	4
BLTP3B	2
BLVRA	3
BMAL1	10
BMAL2	9
BMF	3
BMP2K	9
BMPR1A	6
BNIP2	4
BNIP3L	4
BOD1	7
BOLA1	4
BOLA3	9
BORCS5	1
BORCS7	8
BORCS8	10
BPGM	1
BPHL	7
BRAF	7
BRAP	9
BRAT1	5
BRD2	9
BRD3	7
BRD7	8
BRI3BP	5
BRK1	7
BRMS1L	2
BRPF1	1
BRWD3	5
BSDC1	10
BTAF1	4
BTBD1	10
BTBD10	8
BTBD6	3
BTG2	9
BTG3	9
BTLA	3
BTN2A1	7
BTN3A2	7
BZW1	1
C10orf88	10
C11orf24	2
C11orf58	5
C12orf43	9
C12orf57	5
C12orf76	8
C14orf93	8
C15orf39	10
C15orf40	6
C15orf61	3
C16orf87	4
C17orf75	3
C18orf54	1
C19orf12	6
C19orf53	10
C1GALT1	4
C1GALT1C1	3
C1QBP	10
C1orf159	8
C1orf174	8
C1orf21	6
C1orf52	5
C20orf96	6
C21orf91	1
C2CD5	2
C2orf49	8
C2orf68	9
C2orf69	7
C2orf74	10
C3orf38	3
C3orf52	8
C4orf3	4
C5orf15	7
C5orf34	6
C6orf136	9
C6orf226	8
C6orf47	5
C6orf89	2
C8orf33	5
C8orf76	8
C9orf72	8
CAAP1	6
CAB39	6
CABLES2	9
CACNB1	9
CACUL1	3
CALCOCO1	6
CALHM6	4
CALM1	5
CALM2	9
CALM3	2
CALU	4
CAMK2D	9
CAMK2G	8
CAMK4	9
CAMTA1	2
CAND1	3
CANT1	7
CANX	9
CAP1	6
CAPN1	10
CAPN2	6
CAPN7	3
CAPNS1	5
CAPZA2	8
CARD19	6
CARD6	1
CARHSP1	5
CARM1	9
CARNMT1	7
CASC3	2
CASP10	2
CASP4	6
CASP6	6
CASP7	7
CASP8	6
CASP9	2
CAT	1
CBFA2T2	7
CBL	10
CBLB	8
CBLL1	8
CBR1	9
CBR3	6
CBR4	5
CBX1	4
CBX5	8
CBX6	9
CBY1	9
CC2D1B	8
CCDC102A	2
CCDC106	6
CCDC124	7
CCDC125	8
CCDC126	2
CCDC127	2
CCDC134	4
CCDC14	1
CCDC15	5
CCDC150	8
CCDC152	9
CCDC167	3
CCDC186	9
CCDC22	8
CCDC32	9
CCDC34	1
CCDC43	4
CCDC61	4
CCDC66	4
CCDC71	8
CCDC71L	5
CCDC85B	2
CCDC85C	2
CCDC88C	6
CCDC9	10
CCDC90B	3
CCDC91	2
CCDC93	10
CCDC97	6
CCL28	3
CCM2	7
CCNB1	5
CCNB2	3
CCNC	8
CCND2	5
CCNDBP1	8
CCNE1	10
CCNF	6
CCNG1	7
CCNI2	4
CCNJ	7
CCNL1	10
CCNT2	1
CCNY	2
CCNYL1	8
CCPG1	8
CCR2	5
CCR4	10
CCR5	3
CCR7	7
CCSAP	7
CCSER2	3
CD109	8
CD151	10
CD164	4
CD2	8
CD200R1	2
CD247	7
CD27	9
CD274	6
CD28	2
CD2AP	5
CD320	6
CD37	5
CD38	8
CD4	2
CD40LG	9
CD44	6
CD46	6
CD47	2
CD48	6
CD5	3
CD52	9
CD53	4
CD55	4
CD58	1
CD6	2
CD63	10
CD69	10
CD7	4
CD70	2
CD74	5
CD79B	3
CD80	8
CD81	9
CD83	4
CD84	1
CD96	9
CD99	5
CDADC1	8
CDC14A	9
CDC25A	4
CDC25C	9
CDC34	1
CDC37L1	6
CDC42SE2	5
CDCA3	4
CDCA7	5
CDCA7L	3
CDIP1	4
CDIPT	2
CDK13	6
CDK16	10
CDK17	9
CDK19	1
CDK2	5
CDK2AP1	8
CDK5RAP1	2
CDK5RAP2	1
CDK8	4
CDKN1A	6
CDKN2A	6
CDKN2AIP	2
CDKN2AIPNL	3
CDKN2C	1
CDKN3	6
CDPF1	3
CDR2	8
CDV3	7
CDYL2	3
CEACAM21	7
CEBPB	6
CELF1	7
CELF2	9
CEMIP2	2
CENPB	2
CENPF	1
CENPS	6
CENPV	10
CEP128	3
CEP131	3
CEP135	2
CEP15	8
CEP162	6
CEP164	1
CEP20	4
CEP41	8
CEP57L1	1
CEP68	8
CEP72	1
CEP78	10
CEP83	1
CEP85L	6
CEP97	5
CERK	1
CERS2	8
CERS4	10
CERS6	10
CES4A	2
CETN3	10
CFAP36	7
CFAP68	4
CFAP97	8
CFL2	8
CGAS	4
CGRRF1	5
CHAC2	7
CHAMP1	10
CHCHD1	4
CHCHD5	3
CHD4	1
CHD6	3
CHFR	2
CHIC1	2
CHIC2	4
CHID1	2
CHKB	6
CHM	6
CHMP1B	9
CHMP2B	2
CHMP4B	10
CHP1	9
CHPF	2
CHPF2	1
CHRAC1	1
CHST10	9
CHST12	3
CHTF18	10
CIAO1	3
CIC	1
CIITA	4
CIRBP	3
CISD2	10
CISH	2
CIT	3
CITED2	6
CITED4	1
CIZ1	5
CKAP2L	8
CKAP4	8
CLASP1	7
CLASP2	2
CLCC1	6
CLCN3	3
CLDND1	2
CLEC2B	3
CLEC2D	4
CLIC4	3
CLIC5	3
CLINT1	3
CLIP1	4
CLIP4	10
CLK2	7
CLK4	4
CLN5	7
CLN8	6
CLOCK	5
CLPB	10
CLPP	4
CLPTM1	4
CLPTM1L	10
CLPX	10
CLSTN3	7
CLTA	6
CLTB	7
CLU	5
CLUAP1	9
CLUH	1
CLYBL	6
CMC1	1
CMC2	4
CMPK2	4
CMSS1	6
CMTM3	10
CMTM6	10
CMTM7	6
CMTM8	8
CMTR1	2
CNBP	7
CNDP2	6
CNEP1R1	2
CNIH1	7
CNKSR2	4
CNN2	1
CNNM2	5
CNNM3	9
CNNM4	6
CNOT10	10
CNOT4	6
CNOT6	8
CNOT6L	2
CNOT8	7
CNPY2	9
CNPY3	6
CNTRL	5
COA6	1
COA7	5
COIL	7
COLGALT1	7
COMMD1	7
COMMD10	1
COMMD2	10
COMMD4	5
COMMD6	2
COMMD7	5
COMMD8	1
COMMD9	1
COP1	4
COPG2	9
COPRS	1
COPS7A	4
COPS7B	6
COPS9	5
COQ10A	1
COQ10B	5
COQ6	8
COQ8A	5
COQ9	4
CORO1A	8
CORO1C	3
CORO7	5
COTL1	9
COX15	5
COX16	6
COX17	4
COX18	7
COX6A1	2
COX6B1	4
COX7A2L	7
COX7C	10
COX8A	4
CPD	1
CPEB2	1
CPEB3	9
CPEB4	3
CPOX	5
CPPED1	9
CPT1A	4
CPT2	3
CRACR2A	2
CRADD	6
CRBN	1
CREB1	4
CREBBP	4
CREBL2	9
CREBRF	5
CREBZF	5
CREG1	10
CRELD1	4
CREM	2
CRIP1	9
CRKL	10
CRLF3	5
CRLS1	5
CROT	8
CRTAP	1
CRY1	2
CRY2	4
CRYL1	8
CSDE1	3
CSF1	9
CSNK1D	1
CSNK1E	7
CSNK1G1	9
CSNK1G2	1
CSNK2A1	3
CSNK2A2	6
CSNK2B	2
CSRNP1	8
CSRNP2	1
CSRP1	4
CST7	1
CSTB	8
CSTF2T	10
CSTPP1	8
CTBS	2
CTDSP1	10
CTDSPL2	6
CTNNBIP1	4
CTPS2	8
CTSA	3
CTSB	1
CTSC	4
CTSD	2
CTSH	8
CTSS	3
CTSW	3
CUEDC2	8
CUL3	9
CUL4A	9
CUL9	2
CUTC	9
CUX1	1
CWC25	8
CWF19L1	2
CXCR3	9
CXCR4	9
CXorf38	9
CXorf65	9
CYB561D1	10
CYB561D2	6
CYB5A	7
CYB5B	4
CYB5D2	8
CYB5R1	10
CYB5RL	9
CYBA	5
CYBC1	3
CYFIP1	6
CYFIP2	3
CYLD	2
CYP1B1	2
CYP20A1	1
CYP2R1	5
CYREN	6
CYRIB	10
CYSLTR1	10
CYTIP	7
CZIB	4
DAAM1	1
DAG1	2
DAP3	6
DAPK3	6
DAXX	3
DAZAP2	6
DBF4B	1
DBNL	3
DBT	1
DCAF11	5
DCAF12	1
DCAF15	5
DCAF4	9
DCAF5	10
DCLRE1C	7
DCP1A	3
DCP1B	9
DCTD	1
DCUN1D1	3
DCUN1D3	4
DCUN1D4	5
DCUN1D5	6
DCXR	8
DDB2	9
DDHD1	7
DDHD2	9
DDI2	7
DDIT4	9
DDX17	6
DDX19A	9
DDX20	1
DDX3Y	4
DDX60	2
DEDD	2
DEDD2	4
DEF6	10
DEK	7
DELE1	9
DENND10	1
DENND1B	7
DENND1C	2
DENND2D	6
DENND4A	1
DENND4B	3
DENND4C	6
DENND5A	2
DENR	9
DEPDC1	3
DEPDC1B	4
DERA	6
DERL1	7
DESI2	10
DEXI	5
DFFA	9
DGAT1	4
DGCR2	3
DGKA	7
DGKD	7
DGKE	10
DGKQ	10
DGLUCY	10
DGUOK	8
DHCR24	2
DHCR7	2
DHRS13	5
DHRS7B	7
DHTKD1	1
DHX30	5
DHX32	10
DHX34	4
DHX58	6
DIAPH1	2
DIAPH2	10
DIAPH3	4
DIDO1	3
DIP2A	9
DIP2B	10
DIPK1A	4
DIS3L	8
DIS3L2	6
DLAT	4
DLG1	9
DLG3	5
DLGAP4	2
DLGAP5	6
DMC1	10
DMTF1	8
DMXL1	8
DNAJA1	3
DNAJA2	4
DNAJB1	3
DNAJB12	3
DNAJB2	1
DNAJB6	10
DNAJC1	6
DNAJC10	1
DNAJC13	4
DNAJC14	8
DNAJC15	5
DNAJC18	10
DNAJC19	4
DNAJC24	10
DNAJC27	2
DNAJC3	6
DNAJC5	7
DNAL1	9
DNAL4	10
DNASE2	8
DNM1L	3
DNPEP	3
DNPH1	9
DNTTIP1	2
DOCK11	1
DOCK2	4
DOHH	9
DOK1	5
DOK2	10
DOK4	4
DOLPP1	10
DOP1B	3
DPH2	1
DPH3	6
DPH6	4
DPM2	6
DPP4	1
DPP8	1
DPY19L4	10
DPYD	9
DPYSL2	1
DR1	6
DRAM1	9
DRG2	2
DSCC1	2
DSTN	1
DSTYK	9
DTD1	10
DTD2	9
DTNBP1	8
DUS1L	3
DUS3L	5
DUSP1	4
DUSP10	7
DUSP11	7
DUSP16	3
DUSP18	2
DUSP2	2
DUSP23	2
DUSP4	8
DVL2	6
DVL3	8
DYM	3
DYNC1LI1	5
DYNC1LI2	10
DYNC2I1	5
DYNC2I2	6
DYNC2LI1	6
DYNLT1	2
DYNLT2B	10
DYNLT3	6
DYRK1B	3
DYRK2	3
DYRK3	6
DYRK4	5
E2F6	5
E2F7	9
EAF1	9
EARS2	7
EBP	6
EBPL	10
ECH1	3
ECHDC1	8
ECHDC2	1
ECHS1	5
ECI1	4
ECI2	2
ECPAS	10
EDC3	6
EDC4	6
EDEM1	6
EDEM2	5
EDEM3	9
EDF1	3
EEA1	1
EEF1AKMT1	3
EEF1AKMT2	3
EEF1E1	5
EEF2K	1
EEIG1	3
EFNB1	7
EGLN1	5
EHBP1	7
EHD1	3
EHD4	7
EHMT2	5
EID1	8
EID2	9
EIF1	3
EIF1AY	2
EIF2AK1	6
EIF2AK2	4
EIF2AK3	5
EIF2AK4	1
EIF3L	5
EIF4B	1
EIF4E2	4
EIF4E3	2
EIF4EBP1	1
EIF4EBP2	9
EIF4G2	4
EIF4G3	6
EIF4H	5
EIF5A2	6
ELAVL1	6
ELF4	10
ELK1	7
ELK3	5
ELK4	1
ELMOD2	10
ELOA	9
ELOB	10
ELOC	2
ELOVL1	8
ELOVL5	9
ELP3	8
ELP5	3
ELP6	5
EMB	1
EMC10	1
EMC4	1
EMD	8
EML2	3
EML4	2
ENDOD1	6
ENDOG	10
ENDOV	5
ENG	7
ENGASE	6
ENO2	1
ENOPH1	4
ENOSF1	5
ENOX2	4
ENPP4	6
ENSA	8
ENTPD4	6
ENTPD5	8
ENTPD7	5
ENTREP3	9
EOGT	4
EOLA1	9
EP300	8
EPB41L2	3
EPC1	8
EPC2	4
EPG5	7
EPHX2	6
EPS15	1
EPSTI1	2
ERAP1	3
ERAP2	5
ERBIN	1
ERCC1	10
ERCC5	8
ERGIC2	6
ERGIC3	6
ERI3	8
ERICH1	1
ERLIN1	4
ERMP1	8
ERO1A	3
ERO1B	3
ESCO1	9
ESD	3
ESRRA	9
ETAA1	8
ETFA	8
ETHE1	9
ETNK1	10
ETS2	7
ETV3	1
EVA1B	10
EVI2A	3
EVL	5
EXD2	8
EXO5	10
EXOC6	3
EXOC6B	5
EXT1	8
EXT2	8
EYA3	9
EZH1	8
F2R	4
F5	3
FABP5	1
FAH	6
FAHD2B	5
FAIM	2
FAM111A	4
FAM111B	2
FAM117A	6
FAM120B	2
FAM161A	10
FAM168A	10
FAM168B	5
FAM174C	1
FAM184A	4
FAM185A	8
FAM193B	7
FAM199X	9
FAM200A	3
FAM200B	4
FAM20B	3
FAM210B	2
FAM219A	1
FAM219B	7
FAM221A	2
FAM222B	8
FAM241A	6
FAM24B	6
FAM50B	3
FAM53B	7
FAM53C	8
FAM76A	3
FAM78A	3
FAM83D	1
FAM89A	7
FAM91A1	8
FAM98A	2
FAM98B	9
FAN1	4
FANCA	8
FANCC	9
FANCD2	6
FANCE	9
FANCF	5
FANCG	8
FAR1	9
FARP2	10
FASTKD1	1
FASTKD2	3
FBRS	5
FBXL12	8
FBXL15	2
FBXL17	3
FBXL3	10
FBXL4	7
FBXL5	5
FBXO11	4
FBXO21	10
FBXO22	1
FBXO25	5
FBXO30	3
FBXO38	4
FBXO4	4
FBXO41	7
FBXO43	9
FBXO44	8
FBXO46	7
FBXO48	9
FBXO6	5
FBXO7	6
FBXO9	2
FBXW4	10
FBXW7	2
FBXW8	10
FCHO1	5
FCHSD1	5
FCHSD2	8
FCSK	6
FDFT1	9
FDXR	3
FEM1A	6
FEM1B	4
FEM1C	6
FER	6
FERMT3	3
FEZ2	7
FGD3	2
FGL2	3
FHIP1B	8
FHIP2A	5
FHIP2B	3
FHL3	7
FHOD1	2
FIGNL1	5
FKBP11	4
FKBP5	9
FKTN	1
FLCN	6
FLI1	8
FLII	9
FLNA	5
FLNB	6
FLT3LG	5
FLVCR1	9
FLYWCH2	10
FMNL1	3
FN3KRP	7
FNBP1	2
FNDC10	9
FNDC3A	1
FNIP1	2
FOSL2	10
FOXJ2	4
FOXJ3	8
FOXK1	8
FOXK2	10
FOXN2	8
FOXO1	3
FOXO4	1
FOXP3	6
FOXP4	10
FOXRED2	3
FPGS	7
FPGT	2
FRA10AC1	10
FRAT2	3
FRG1	5
FRMD6	9
FRS2	9
FRS3	3
FRYL	2
FTH1	6
FTL	9
FTSJ1	5
FUBP1	2
FUCA1	7
FUCA2	3
FUOM	3
FUT11	5
FUT8	3
FUZ	1
FXR1	5
FXYD5	9
FYTTD1	10
FZD3	6
G0S2	4
G2E3	9
G3BP2	9
G6PD	7
GAB2	6
GAB3	7
GADD45A	6
GADD45B	5
GADD45GIP1	9
GALC	7
GALE	4
GALM	1
GALNT10	2
GALNT2	1
GALNT6	9
GALNT7	2
GALT	10
GAMT	3
GAPVD1	8
GATA3	4
GATAD2A	1
GATAD2B	8
GATD1	8
GBE1	8
GBP1	2
GBP2	7
GBP3	4
GBP4	9
GBP5	1
GCA	6
GCC2	3
GCFC2	3
GCHFR	2
GCLM	4
GCN1	9
GCNT1	2
GDAP1	6
GDE1	7
GDI1	8
GDI2	9
GFM1	4
GFOD2	5
GFUS	7
GGA1	10
GGA2	3
GGCT	9
GGH	1
GHDC	3
GHITM	1
GID4	7
GIGYF2	8
GIMAP2	5
GIMAP4	5
GIMAP5	7
GIMAP6	9
GIMAP8	3
GIPC1	8
GLB1L3	8
GLCE	8
GLG1	3
GLIPR1	1
GLIPR2	3
GLO1	8
GLRX	2
GLRX2	8
GLRX5	8
GLS	10
GLTP	1
GLYCTK	7
GMCL1	6
GMDS	2
GMEB1	6
GMFB	8
GMFG	2
GMNN	6
GMPPA	8
GNAI2	8
GNAI3	6
GNB1	8
GNB2	7
GNB4	2
GNB5	4
GNE	7
GNG10	8
GNG2	3
GNLY	2
GNPDA1	4
GNPDA2	3
GNPTAB	2
GOLGA1	4
GOLGA7	8
GOLGA8B	6
GOLGB1	4
GOLIM4	7
GOLM2	1
GOLPH3	7
GOLPH3L	9
GOPC	9
GORAB	6
GOSR1	5
GOT1	10
GOT2	2
GPAA1	5
GPAM	9
GPAT3	10
GPAT4	8
GPATCH2	1
GPATCH2L	6
GPATCH3	2
GPATCH4	7
GPATCH8	5
GPBP1	7
GPC1	7
GPCPD1	7
GPD2	7
GPHN	7
GPI	8
GPR132	6
GPR15	3
GPR155	6
GPR171	6
GPR18	2
GPR180	10
GPR183	8
GPR65	2
GPR68	6
GPS2	6
GRAMD2B	9
GRAP	2
GRB2	2
GRHPR	8
GRINA	7
GRK2	2
GRK5	4
GRK6	3
GRSF1	4
GSDMD	7
GSK3A	1
GSK3B	4
GSPT2	10
GSTK1	6
GSTM3	3
GSTO1	4
GTF2A1	5
GTF2I	5
GTF3A	7
GTPBP10	2
GTPBP8	10
GTSE1	9
GUF1	3
GUSB	7
GXYLT1	3
GYG1	9
GYPC	8
GZMA	4
GZMM	6
H1-10	6
H1-3	5
H1-4	7
H1-5	9
H2AC25	1
H2AX	6
H2BC21	1
H2BC9	8
H3-3A	7
H3-3B	2
H3C10	7
H3C8	7
H4C3	3
H4C9	10
HACD2	9
HACD3	2
HACE1	10
HADH	1
HAPLN3	9
HAPSTR1	6
HASPIN	1
HAT1	5
HBEGF	10
HBP1	3
HCFC2	2
HCLS1	4
HDAC1	5
HDAC2	3
HDAC4	5
HDAC5	10
HDAC6	4
HDAC8	2
HDDC2	7
HDGF	9
HDGFL2	10
HDGFL3	4
HDHD3	10
HDHD5	7
HEATR6	2
HEBP1	10
HEBP2	5
HECA	5
HECTD1	3
HELB	9
HELLS	5
HELZ	9
HENMT1	10
HERC3	3
HERC5	1
HERC6	9
HERPUD1	2
HERPUD2	7
HEXA	3
HEXB	3
HGH1	3
HIBADH	2
HIBCH	3
HIF1A	3
HIGD2A	3
HIKESHI	10
HILPDA	3
HINT1	2
HINT3	1
HIP1R	2
HIPK2	2
HIPK3	8
HK1	5
HK2	10
HLCS	8
HLTF	7
HM13	4
HMBS	4
HMG20B	5
HMGB2	4
HMGB3	8
HMGN1	7
HMGN3	8
HMGN4	2
HMGXB4	9
HNRNPA0	3
HNRNPA2B1	3
HNRNPAB	10
HNRNPD	7
HNRNPH3	4
HNRNPLL	1
HNRNPR	3
HNRNPUL1	6
HNRNPUL2	9
HOMER2	4
HOMEZ	8
HOXB2	1
HPCAL1	7
HPF1	10
HPGD	6
HPRT1	1
HPS3	5
HPS6	1
HPSE	5
HRAS	4
HS1BP3	6
HS3ST3B1	5
HSD17B10	3
HSD17B11	9
HSD17B4	5
HSD17B8	4
HSDL1	6
HSDL2	1
HSF2	8
HSH2D	4
HSP90AB1	6
HSP90B1	2
HSPA13	3
HSPA1B	4
HSPA1L	4
HSPA4	9
HSPB1	3
HSPBP1	10
HTATIP2	9
HTATSF1	1
HTT	1
HUWE1	6
HVCN1	1
HYCC1	8
HYLS1	5
IAH1	7
IBA57	7
IBTK	9
ICAM1	5
ICAM3	1
ICE2	4
ICOS	6
IDE	7
IDH1	7
IDH2	6
IDH3B	4
IDNK	7
IDS	5
IER3IP1	5
IER5	8
IFFO2	3
IFI16	10
IFI27L2	6
IFI30	9
IFI35	3
IFI44	8
IFI44L	9
IFI6	6
IFITM2	10
IFITM3	9
IFNAR1	1
IFNAR2	2
IFNGR1	3
IFRD1	10
IFRD2	6
IFT172	9
IFT22	5
IFT27	6
IFT43	5
IFT46	7
IFT52	3
IFT57	7
IFT88	5
IGF1R	9
IGF2R	1
IGSF8	4
IGSF9B	4
IKBKB	6
IKBKE	10
IL10RA	8
IL10RB	7
IL12RB1	6
IL12RB2	2
IL17RA	5
IL18R1	8
IL18RAP	4
IL1RAP	2
IL23A	2
IL2RA	8
IL32	5
IL4R	9
IL6ST	1
ILRUN	8
ILVBL	4
IMPA2	8
IMPACT	7
INAFM1	7
INO80C	4
INPP4A	1
INPP5A	7
INPP5D	8
INPP5E	4
INPP5F	5
INSIG2	10
INSL3	1
INTS10	7
INTS6	10
INTS6L	4
IPO8	7
IQCC	1
IQGAP1	2
IRAG2	8
IRAK1	3
IRF2BP1	10
IRF2BPL	5
IRF7	2
IRS2	9
ISG15	5
ISG20	5
ISOC1	2
ISOC2	7
IST1	10
ITCH	6
ITGA2	3
ITGA3	1
ITGA4	3
ITGA5	9
ITGAL	8
ITGAV	1
ITGB2	1
ITGB7	10
ITK	9
ITM2A	5
ITM2B	5
ITM2C	1
ITPR1	7
ITPR2	3
ITPR3	6
ITPRID2	1
ITPRIP	3
ITPRIPL1	7
ITPRIPL2	9
IVD	7
IVNS1ABP	3
IWS1	1
JADE1	8
JAGN1	7
JAK2	1
JAML	7
JMJD1C	2
JMY	10
JOSD1	10
JPT1	8
JPT2	4
JUN	8
JUNB	2
JUND	2
KAT2B	8
KAT6A	1
KAT6B	3
KATNA1	5
KATNAL1	9
KBTBD2	8
KBTBD6	1
KBTBD8	10
KCMF1	3
KCNA3	6
KCNAB2	7
KCNN4	7
KCTD12	4
KCTD13	5
KCTD17	4
KCTD20	8
KCTD6	9
KDELR1	10
KDELR2	2
KDM1A	9
KDM2A	4
KDM3A	6
