target_contrast	fold
ENSG00000070047	0
ENSG00000070081	0
ENSG00000070269	2
ENSG00000070413	0
ENSG00000070423	1
ENSG00000070476	0
ENSG00000070501	3
ENSG00000070540	0
ENSG00000070718	1
ENSG00000070759	0
ENSG00000070770	0
ENSG00000070950	4
ENSG00000071054	3
ENSG00000071073	3
ENSG00000071189	0
ENSG00000071205	1
ENSG00000071564	2
ENSG00000071655	2
ENSG00000071794	0
ENSG00000072042	3
ENSG00000072062	3
ENSG00000072135	2
ENSG00000072210	1
ENSG00000072364	1
ENSG00000072415	2
ENSG00000072506	3
ENSG00000072609	4
ENSG00000072736	0
ENSG00000072778	3
ENSG00000072786	3
ENSG00000072818	2
ENSG00000072858	2
ENSG00000072864	4
ENSG00000073050	1
ENSG00000073060	3
ENSG00000073169	2
ENSG00000073614	4
ENSG00000073849	4
ENSG00000073861	1
ENSG00000074054	2
ENSG00000074356	3
ENSG00000074370	4
ENSG00000074603	0
ENSG00000074696	4
ENSG00000074842	0
ENSG00000074935	2
ENSG00000074966	1
ENSG00000075151	1
ENSG00000075218	0
ENSG00000075239	3
ENSG00000075336	3
ENSG00000075413	0
ENSG00000075415	3
ENSG00000075426	3
ENSG00000075539	1
ENSG00000075568	3
ENSG00000075711	3
ENSG00000075785	1
ENSG00000075790	1
ENSG00000075884	4
ENSG00000075975	1
ENSG00000076043	3
ENSG00000076108	0
ENSG00000076382	2
ENSG00000076513	1
ENSG00000076604	4
ENSG00000076662	3
ENSG00000076685	1
ENSG00000076928	1
ENSG00000076944	2
ENSG00000077044	2
ENSG00000077097	3
ENSG00000077147	4
ENSG00000077150	0
ENSG00000077157	1
ENSG00000077232	2
ENSG00000077238	3
ENSG00000077254	3
ENSG00000077420	1
ENSG00000077463	3
ENSG00000077684	1
ENSG00000077713	4
ENSG00000077984	3
ENSG00000078043	1
ENSG00000078061	1
ENSG00000078070	4
ENSG00000078081	1
ENSG00000078124	2
ENSG00000078140	4
ENSG00000078142	1
ENSG00000078177	2
ENSG00000078237	3
ENSG00000078269	3
ENSG00000078369	3
ENSG00000078589	2
ENSG00000078596	3
ENSG00000078618	1
ENSG00000078668	0
ENSG00000078699	1
ENSG00000078747	1
ENSG00000078902	4
ENSG00000079257	3
ENSG00000079263	3
ENSG00000079277	3
ENSG00000079313	4
ENSG00000079335	4
ENSG00000079432	2
ENSG00000079459	1
ENSG00000079462	2
ENSG00000079616	2
ENSG00000079739	4
ENSG00000079819	3
ENSG00000080345	3
ENSG00000080371	4
ENSG00000080802	4
ENSG00000080815	4
ENSG00000080819	2
ENSG00000080822	0
ENSG00000080845	3
ENSG00000080854	1
ENSG00000081087	3
ENSG00000081177	3
ENSG00000081237	3
ENSG00000081760	0
ENSG00000081791	1
ENSG00000081913	1
ENSG00000081985	0
ENSG00000082153	1
ENSG00000082212	1
ENSG00000082258	2
ENSG00000082458	0
ENSG00000082512	0
ENSG00000082701	0
ENSG00000082996	1
ENSG00000083099	2
ENSG00000083123	2
ENSG00000083168	3
ENSG00000083290	3
ENSG00000083312	4
ENSG00000083444	1
ENSG00000083454	2
ENSG00000083544	1
ENSG00000083642	3
ENSG00000083720	0
ENSG00000083799	4
ENSG00000083807	1
ENSG00000083814	2
ENSG00000083828	1
ENSG00000083844	2
ENSG00000083937	2
ENSG00000084070	0
ENSG00000084073	0
ENSG00000084090	3
ENSG00000084112	2
ENSG00000084234	4
ENSG00000084652	3
ENSG00000084676	0
ENSG00000084731	3
ENSG00000085224	2
ENSG00000085274	1
ENSG00000085365	3
ENSG00000085377	3
ENSG00000085382	2
ENSG00000085449	0
ENSG00000085491	1
ENSG00000085644	1
ENSG00000085662	3
ENSG00000085760	0
ENSG00000085788	4
ENSG00000085832	2
ENSG00000085871	2
ENSG00000085982	4
ENSG00000085999	2
ENSG00000086015	3
ENSG00000086061	4
ENSG00000086102	1
ENSG00000086232	0
ENSG00000086300	2
ENSG00000086598	3
ENSG00000086619	2
ENSG00000086712	2
ENSG00000086730	3
ENSG00000086758	0
ENSG00000086848	4
ENSG00000087074	1
ENSG00000087086	1
ENSG00000087095	4
ENSG00000087152	2
ENSG00000087206	0
ENSG00000087274	0
ENSG00000087299	2
ENSG00000087301	1
ENSG00000087338	2
ENSG00000087470	1
ENSG00000087502	4
ENSG00000087842	4
ENSG00000087903	2
ENSG00000088035	3
ENSG00000088298	4
ENSG00000088682	3
ENSG00000088766	3
ENSG00000088812	4
ENSG00000088876	1
ENSG00000088888	4
ENSG00000088970	1
ENSG00000088992	4
ENSG00000089022	1
ENSG00000089041	4
ENSG00000089060	1
ENSG00000089123	0
ENSG00000089127	2
ENSG00000089154	3
ENSG00000089159	0
ENSG00000089177	3
ENSG00000089220	4
ENSG00000089234	3
ENSG00000089327	2
ENSG00000089335	1
ENSG00000089486	2
ENSG00000089876	4
ENSG00000089902	1
ENSG00000089916	3
ENSG00000090006	1
ENSG00000090020	1
ENSG00000090054	0
ENSG00000090060	1
ENSG00000090097	0
ENSG00000090238	3
ENSG00000090266	4
ENSG00000090316	4
ENSG00000090339	0
ENSG00000090432	2
ENSG00000090447	0
ENSG00000090487	1
ENSG00000090554	1
ENSG00000090612	1
ENSG00000090661	3
ENSG00000090674	3
ENSG00000090686	3
ENSG00000090776	3
ENSG00000090857	4
ENSG00000090863	4
ENSG00000090905	0
ENSG00000090924	0
ENSG00000091039	2
ENSG00000091127	1
ENSG00000091164	3
ENSG00000091317	1
ENSG00000091490	4
ENSG00000091527	2
ENSG00000091542	2
ENSG00000091592	4
ENSG00000091732	1
ENSG00000092010	4
ENSG00000092140	2
ENSG00000092148	1
ENSG00000092470	0
ENSG00000092531	0
ENSG00000092621	1
ENSG00000092841	4
ENSG00000092847	0
ENSG00000092871	2
ENSG00000092929	3
ENSG00000092931	2
ENSG00000092964	0
ENSG00000092978	3
ENSG00000093144	2
ENSG00000093167	1
ENSG00000093183	0
ENSG00000093217	4
ENSG00000094631	4
ENSG00000094841	0
ENSG00000094916	0
ENSG00000095002	1
ENSG00000095015	0
ENSG00000095209	3
ENSG00000095261	2
ENSG00000095380	2
ENSG00000095485	1
ENSG00000095564	3
ENSG00000095787	3
ENSG00000095794	2
ENSG00000096060	1
ENSG00000096063	3
ENSG00000096092	4
ENSG00000096384	2
ENSG00000096433	2
ENSG00000096654	2
ENSG00000096746	0
ENSG00000096968	4
ENSG00000096996	0
ENSG00000097033	1
ENSG00000099203	1
ENSG00000099219	4
ENSG00000099330	3
ENSG00000099385	0
ENSG00000099622	4
ENSG00000099624	3
ENSG00000099804	0
ENSG00000099810	1
ENSG00000099849	3
ENSG00000099860	2
ENSG00000099875	4
ENSG00000099904	0
ENSG00000099910	4
ENSG00000099917	0
ENSG00000099942	2
ENSG00000099985	0
ENSG00000099992	3
ENSG00000100003	1
ENSG00000100014	4
ENSG00000100030	1
ENSG00000100034	1
ENSG00000100038	3
ENSG00000100060	4
ENSG00000100075	0
ENSG00000100083	3
ENSG00000100097	0
ENSG00000100105	2
ENSG00000100129	1
ENSG00000100147	0
ENSG00000100151	2
ENSG00000100201	0
ENSG00000100206	0
ENSG00000100211	4
ENSG00000100219	0
ENSG00000100221	4
ENSG00000100225	2
ENSG00000100239	1
ENSG00000100241	4
ENSG00000100242	4
ENSG00000100246	0
ENSG00000100271	4
ENSG00000100280	2
ENSG00000100281	0
ENSG00000100284	1
ENSG00000100288	2
ENSG00000100294	0
ENSG00000100298	4
ENSG00000100299	1
ENSG00000100300	4
ENSG00000100304	2
ENSG00000100324	1
ENSG00000100325	4
ENSG00000100335	2
ENSG00000100342	3
ENSG00000100345	1
ENSG00000100348	3
ENSG00000100350	4
ENSG00000100359	4
ENSG00000100360	0
ENSG00000100364	0
ENSG00000100365	3
ENSG00000100372	1
ENSG00000100379	3
ENSG00000100380	0
ENSG00000100393	0
ENSG00000100395	0
ENSG00000100403	2
ENSG00000100416	4
ENSG00000100417	0
ENSG00000100422	2
ENSG00000100439	3
ENSG00000100445	1
ENSG00000100461	3
ENSG00000100483	1
ENSG00000100503	0
ENSG00000100523	1
ENSG00000100526	4
ENSG00000100528	0
ENSG00000100532	4
ENSG00000100580	2
ENSG00000100592	2
ENSG00000100614	2
ENSG00000100629	2
ENSG00000100644	0
ENSG00000100650	3
ENSG00000100722	3
ENSG00000100731	4
ENSG00000100749	0
ENSG00000100796	0
ENSG00000100802	0
ENSG00000100804	4
ENSG00000100811	2
ENSG00000100815	0
ENSG00000100852	0
ENSG00000100883	1
ENSG00000100889	4
ENSG00000100890	0
ENSG00000100897	3
ENSG00000100906	4
ENSG00000100911	2
ENSG00000100916	1
ENSG00000100934	2
ENSG00000100982	3
ENSG00000100991	2
ENSG00000100994	0
ENSG00000100997	4
ENSG00000101040	4
ENSG00000101052	0
ENSG00000101084	1
ENSG00000101104	3
ENSG00000101109	4
ENSG00000101126	2
ENSG00000101150	1
ENSG00000101152	0
ENSG00000101181	0
ENSG00000101190	3
ENSG00000101191	0
ENSG00000101199	4
ENSG00000101236	2
ENSG00000101255	0
ENSG00000101265	4
ENSG00000101266	1
ENSG00000101294	1
ENSG00000101310	2
ENSG00000101346	1
ENSG00000101347	2
ENSG00000101363	3
ENSG00000101365	2
ENSG00000101367	0
ENSG00000101391	3
ENSG00000101400	3
ENSG00000101417	0
ENSG00000101421	3
ENSG00000101442	4
ENSG00000101445	3
ENSG00000101447	1
ENSG00000101457	3
ENSG00000101474	2
ENSG00000101544	1
ENSG00000101557	3
ENSG00000101558	0
ENSG00000101596	4
ENSG00000101608	2
ENSG00000101695	3
ENSG00000101745	1
ENSG00000101752	1
ENSG00000101782	1
ENSG00000101856	2
ENSG00000101888	2
ENSG00000101901	0
ENSG00000101928	1
ENSG00000101940	1
ENSG00000101945	1
ENSG00000101972	2
ENSG00000101997	2
ENSG00000102007	2
ENSG00000102032	4
ENSG00000102034	3
ENSG00000102054	2
ENSG00000102078	0
ENSG00000102119	4
ENSG00000102172	3
ENSG00000102178	1
ENSG00000102189	3
ENSG00000102218	2
ENSG00000102225	3
ENSG00000102226	4
ENSG00000102241	4
ENSG00000102245	0
ENSG00000102309	2
ENSG00000102316	3
ENSG00000102390	1
ENSG00000102401	2
ENSG00000102409	0
ENSG00000102471	0
ENSG00000102531	2
ENSG00000102543	4
ENSG00000102580	1
ENSG00000102699	4
ENSG00000102710	1
ENSG00000102743	2
ENSG00000102753	4
ENSG00000102760	2
ENSG00000102763	0
ENSG00000102781	0
ENSG00000102786	4
ENSG00000102805	4
ENSG00000102858	1
ENSG00000102879	2
ENSG00000102882	1
ENSG00000102908	2
ENSG00000102910	3
ENSG00000102921	3
ENSG00000102931	1
ENSG00000102981	3
ENSG00000103005	4
ENSG00000103018	3
ENSG00000103024	4
ENSG00000103037	1
ENSG00000103043	0
ENSG00000103091	4
ENSG00000103111	0
ENSG00000103121	2
ENSG00000103160	3
ENSG00000103174	3
ENSG00000103187	4
ENSG00000103194	3
ENSG00000103202	2
ENSG00000103222	2
ENSG00000103248	3
ENSG00000103257	0
ENSG00000103319	0
ENSG00000103351	3
ENSG00000103356	0
ENSG00000103363	2
ENSG00000103365	4
ENSG00000103381	4
ENSG00000103479	4
ENSG00000103502	1
ENSG00000103507	2
ENSG00000103512	3
ENSG00000103550	1
ENSG00000103591	4
ENSG00000103642	0
ENSG00000103769	3
ENSG00000103811	1
ENSG00000103876	2
ENSG00000103942	0
ENSG00000103966	3
ENSG00000103994	4
ENSG00000104043	4
ENSG00000104081	1
ENSG00000104133	1
ENSG00000104164	3
ENSG00000104219	1
ENSG00000104228	2
ENSG00000104231	3
ENSG00000104290	1
ENSG00000104341	0
ENSG00000104343	3
ENSG00000104365	0
ENSG00000104381	2
ENSG00000104388	0
ENSG00000104419	4
ENSG00000104442	4
ENSG00000104447	0
ENSG00000104472	2
ENSG00000104497	1
ENSG00000104517	2
ENSG00000104518	2
ENSG00000104522	1
ENSG00000104613	0
ENSG00000104635	1
ENSG00000104643	3
ENSG00000104679	4
ENSG00000104689	2
ENSG00000104691	4
ENSG00000104714	0
ENSG00000104731	1
ENSG00000104763	2
ENSG00000104765	3
ENSG00000104783	3
ENSG00000104814	3
ENSG00000104823	4
ENSG00000104835	4
ENSG00000104853	4
ENSG00000104856	2
ENSG00000104866	3
ENSG00000104881	1
ENSG00000104894	3
ENSG00000104904	0
ENSG00000104915	1
ENSG00000104960	0
ENSG00000104964	0
ENSG00000104979	3
ENSG00000104983	0
ENSG00000105063	1
ENSG00000105122	3
ENSG00000105135	1
ENSG00000105173	0
ENSG00000105185	0
ENSG00000105186	2
ENSG00000105204	3
ENSG00000105220	2
ENSG00000105221	0
ENSG00000105287	0
ENSG00000105321	2
ENSG00000105323	3
ENSG00000105327	0
ENSG00000105329	2
ENSG00000105355	3
ENSG00000105393	4
ENSG00000105404	4
ENSG00000105438	3
ENSG00000105497	2
ENSG00000105518	0
ENSG00000105576	1
ENSG00000105583	0
ENSG00000105612	1
ENSG00000105647	1
ENSG00000105677	3
ENSG00000105700	2
ENSG00000105708	1
ENSG00000105717	3
ENSG00000105723	4
ENSG00000105726	4
ENSG00000105738	0
ENSG00000105750	4
ENSG00000105755	1
ENSG00000105771	3
ENSG00000105793	0
ENSG00000105851	1
ENSG00000105856	1
ENSG00000105866	3
ENSG00000105875	2
ENSG00000105879	4
ENSG00000105887	0
ENSG00000105926	4
ENSG00000105983	0
ENSG00000105993	3
ENSG00000106003	1
ENSG00000106009	2
ENSG00000106049	4
ENSG00000106052	1
ENSG00000106100	2
ENSG00000106211	3
ENSG00000106266	1
ENSG00000106268	2
ENSG00000106299	4
ENSG00000106330	4
ENSG00000106346	0
ENSG00000106351	0
ENSG00000106367	0
ENSG00000106392	1
ENSG00000106443	2
ENSG00000106460	0
ENSG00000106477	4
ENSG00000106479	0
ENSG00000106546	0
ENSG00000106560	3
ENSG00000106605	0
ENSG00000106608	1
ENSG00000106609	4
ENSG00000106615	2
ENSG00000106635	3
ENSG00000106638	0
ENSG00000106682	4
ENSG00000106683	3
ENSG00000106692	3
ENSG00000106733	1
ENSG00000106771	4
ENSG00000106780	1
ENSG00000106829	2
ENSG00000106952	4
ENSG00000106991	2
ENSG00000106993	3
ENSG00000107020	0
ENSG00000107021	1
ENSG00000107077	0
ENSG00000107140	3
ENSG00000107201	0
ENSG00000107223	2
ENSG00000107341	2
ENSG00000107443	0
ENSG00000107485	0
ENSG00000107537	2
ENSG00000107560	4
ENSG00000107566	1
ENSG00000107614	2
ENSG00000107643	1
ENSG00000107651	4
ENSG00000107669	1
ENSG00000107679	2
ENSG00000107738	2
ENSG00000107742	3
ENSG00000107745	2
ENSG00000107758	0
ENSG00000107771	1
ENSG00000107779	3
ENSG00000107789	2
ENSG00000107798	4
ENSG00000107815	3
ENSG00000107816	4
ENSG00000107819	4
ENSG00000107829	4
ENSG00000107833	2
ENSG00000107854	1
ENSG00000107863	0
ENSG00000107864	1
ENSG00000107872	2
ENSG00000107874	3
ENSG00000107882	3
ENSG00000107890	0
ENSG00000107897	0
ENSG00000107902	0
ENSG00000107929	2
ENSG00000107968	4
ENSG00000108039	3
ENSG00000108064	1
ENSG00000108100	3
ENSG00000108106	0
ENSG00000108256	1
ENSG00000108349	0
ENSG00000108389	4
ENSG00000108395	3
ENSG00000108439	1
ENSG00000108468	1
ENSG00000108510	4
ENSG00000108557	2
ENSG00000108561	3
ENSG00000108582	1
ENSG00000108587	3
ENSG00000108591	1
ENSG00000108599	3
ENSG00000108604	2
ENSG00000108639	4
ENSG00000108666	2
ENSG00000108679	1
ENSG00000108771	1
ENSG00000108774	3
ENSG00000108799	2
ENSG00000108819	1
ENSG00000108828	0
ENSG00000108840	1
ENSG00000108854	2
ENSG00000108953	3
ENSG00000109016	4
ENSG00000109046	3
ENSG00000109062	4
ENSG00000109084	0
ENSG00000109103	4
ENSG00000109107	1
ENSG00000109118	4
ENSG00000109133	3
ENSG00000109171	3
ENSG00000109180	0
ENSG00000109184	0
ENSG00000109189	1
ENSG00000109220	2
ENSG00000109320	3
ENSG00000109323	1
ENSG00000109332	1
ENSG00000109390	0
ENSG00000109445	2
ENSG00000109466	2
ENSG00000109536	4
ENSG00000109572	1
ENSG00000109586	0
ENSG00000109670	4
ENSG00000109674	3
ENSG00000109689	4
ENSG00000109814	4
ENSG00000109854	0
ENSG00000109861	2
ENSG00000109881	4
ENSG00000109919	2
ENSG00000110002	2
ENSG00000110013	4
ENSG00000110031	4
ENSG00000110046	3
ENSG00000110047	2
ENSG00000110057	3
ENSG00000110060	0
ENSG00000110066	3
ENSG00000110075	4
ENSG00000110080	4
ENSG00000110090	4
ENSG00000110108	1
ENSG00000110200	0
ENSG00000110274	0
ENSG00000110315	0
ENSG00000110321	3
ENSG00000110324	4
ENSG00000110330	2
ENSG00000110344	0
ENSG00000110395	2
ENSG00000110422	3
ENSG00000110442	3
ENSG00000110448	0
ENSG00000110497	4
ENSG00000110514	1
ENSG00000110583	4
ENSG00000110651	1
ENSG00000110660	0
ENSG00000110696	2
ENSG00000110711	1
ENSG00000110717	1
ENSG00000110719	4
ENSG00000110848	1
ENSG00000110852	1
ENSG00000110876	2
ENSG00000110880	0
ENSG00000110911	2
ENSG00000110917	3
ENSG00000110925	3
ENSG00000110934	1
ENSG00000110944	0
ENSG00000110987	3
ENSG00000111011	3
ENSG00000111144	3
ENSG00000111145	1
ENSG00000111196	2
ENSG00000111224	2
ENSG00000111252	3
ENSG00000111266	0
ENSG00000111269	1
ENSG00000111325	1
ENSG00000111328	4
ENSG00000111331	0
ENSG00000111335	0
ENSG00000111348	3
ENSG00000111371	0
ENSG00000111424	3
ENSG00000111450	0
ENSG00000111530	0
ENSG00000111540	4
ENSG00000111554	0
ENSG00000111642	1
ENSG00000111647	1
ENSG00000111652	2
ENSG00000111665	2
ENSG00000111670	1
ENSG00000111671	0
ENSG00000111674	0
ENSG00000111676	1
ENSG00000111678	4
ENSG00000111679	3
ENSG00000111696	3
ENSG00000111716	4
ENSG00000111725	1
ENSG00000111727	1
ENSG00000111731	2
ENSG00000111737	0
ENSG00000111752	0
ENSG00000111775	2
ENSG00000111785	1
ENSG00000111786	1
ENSG00000111832	1
ENSG00000111843	2
ENSG00000111860	0
ENSG00000111875	0
ENSG00000111879	2
ENSG00000111885	3
ENSG00000111897	0
ENSG00000111906	4
ENSG00000111911	1
ENSG00000112031	2
ENSG00000112033	1
ENSG00000112039	1
ENSG00000112078	0
ENSG00000112079	0
ENSG00000112130	4
ENSG00000112146	3
ENSG00000112149	4
ENSG00000112167	0
ENSG00000112200	4
ENSG00000112210	4
ENSG00000112234	2
ENSG00000112237	1
ENSG00000112282	1
ENSG00000112305	1
ENSG00000112312	1
ENSG00000112335	3
ENSG00000112343	1
ENSG00000112357	2
ENSG00000112378	4
ENSG00000112406	1
ENSG00000112531	3
ENSG00000112561	0
ENSG00000112584	4
ENSG00000112640	3
ENSG00000112659	1
ENSG00000112667	1
ENSG00000112697	2
ENSG00000112699	0
ENSG00000112763	2
ENSG00000112782	2
ENSG00000112851	4
ENSG00000112877	2
ENSG00000112893	0
ENSG00000112941	4
ENSG00000112992	4
ENSG00000113068	1
ENSG00000113070	2
ENSG00000113108	3
ENSG00000113119	1
ENSG00000113240	3
ENSG00000113263	2
ENSG00000113282	2
ENSG00000113300	2
ENSG00000113328	0
ENSG00000113368	2
ENSG00000113369	0
ENSG00000113384	4
ENSG00000113387	0
ENSG00000113391	3
ENSG00000113441	2
ENSG00000113532	1
ENSG00000113552	1
ENSG00000113580	0
ENSG00000113583	3
ENSG00000113597	1
ENSG00000113621	0
ENSG00000113638	3
ENSG00000113648	1
ENSG00000113658	1
ENSG00000113732	3
ENSG00000113742	3
ENSG00000113761	4
ENSG00000113811	4
ENSG00000113845	0
ENSG00000113851	3
ENSG00000113916	2
ENSG00000113971	3
ENSG00000114026	4
ENSG00000114054	4
ENSG00000114062	1
ENSG00000114127	3
ENSG00000114166	2
ENSG00000114209	1
ENSG00000114302	1
ENSG00000114316	1
ENSG00000114331	3
ENSG00000114353	0
ENSG00000114354	2
ENSG00000114383	4
ENSG00000114395	1
ENSG00000114405	1
ENSG00000114416	3
ENSG00000114423	4
ENSG00000114439	2
ENSG00000114446	4
ENSG00000114450	4
ENSG00000114480	3
ENSG00000114529	4
ENSG00000114544	0
ENSG00000114626	4
ENSG00000114648	2
ENSG00000114737	2
ENSG00000114744	3
ENSG00000114770	3
ENSG00000114796	3
ENSG00000114850	3
ENSG00000114857	2
ENSG00000114956	0
ENSG00000114978	2
ENSG00000114988	2
ENSG00000114999	3
ENSG00000115073	3
ENSG00000115091	3
